"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"NUAK2",2.4568267413551e-53,0.431783054841971,0.12,0.08,8.20997792158635e-49
"PACSIN2",7.58253114932748e-53,0.471328169891222,0.174,0.131,2.53385443417076e-48
"ELOVL5",5.00379754229871e-52,0.452794897415168,0.249,0.209,1.67211902470996e-47
"IL6R",5.2955734472102e-52,0.47718813543566,0.29,0.256,1.76962177885423e-47
"NDEL1",7.16514749538896e-52,0.488586947011067,0.182,0.141,2.39437733853413e-47
"TLR1",9.77880792756219e-52,0.480339709440935,0.227,0.187,3.26778424515346e-47
"MID1IP1",5.75633231126261e-51,0.511262117759206,0.157,0.115,1.92359356845463e-46
"H3F3A",5.90454700724834e-51,0.43042634038782,0.157,0.115,1.97312247341218e-46
"RAB3D",1.00443245820171e-50,0.503239713547418,0.192,0.152,3.35651194557267e-46
"PLXNC1",4.28082015471296e-50,0.49101889720667,0.273,0.24,1.43052167110043e-45
"VAMP2",8.06811890535411e-50,0.294337946209717,0.481,0.471,2.69612329460218e-45
"LYST",1.30524266481199e-49,0.463978955477895,0.352,0.332,4.36172941300221e-45
"PLAUR",1.97924009827993e-49,0.428115183294232,0.374,0.344,6.61402663642203e-45
"MEGF9",7.67661881117421e-49,0.436591198672917,0.393,0.374,2.56529570813009e-44
"JMJD1C",2.23790558755055e-48,0.450037448277452,0.307,0.274,7.47840910191767e-44
"NABP1",1.58538510321144e-46,0.467227549345653,0.169,0.13,5.29788139940168e-42
"PGGHG",1.85135975566112e-46,0.363887157039149,0.114,0.076,6.18668889549276e-42
"SHKBP1",4.39975092957304e-46,0.49501930167226,0.345,0.332,1.47026476813542e-41
"NCOA1",6.68649541099588e-46,0.43829955087296,0.287,0.253,2.23442617149249e-41
"WBP2",7.39022711028609e-46,0.452195398688728,0.294,0.266,2.4695921934443e-41
"CD46",1.01052811605392e-45,0.425719892534015,0.281,0.248,3.37688180541739e-41
"PCBP1",5.5225183551585e-45,0.2807673280565,0.58,0.615,1.84545995874332e-40
"ELF2",1.0697639073465e-43,0.455404081450749,0.238,0.202,3.5748300491798e-39
"FAM53C",1.28175205905246e-43,0.433264906223958,0.139,0.102,4.2832308557356e-39
"IDS",1.43039682283513e-43,0.364783214186924,0.347,0.321,4.77995706286815e-39
"KPNB1",1.57634858401286e-43,0.377010729885992,0.37,0.349,5.26768406319576e-39
"SLC6A6",4.87465814283427e-43,0.479259908712123,0.249,0.219,1.62896451159093e-38
"UBN1",3.22455691101384e-42,0.447110017128898,0.214,0.179,1.07755018295349e-37
"PPP4R1",3.45211873693265e-42,0.46754481480039,0.188,0.153,1.15359451832078e-37
"UBC",1.68539122292317e-41,0.393786618092231,0.423,0.427,5.63207184964235e-37
